,id,ticker,close,dividend,earnings,growth_rev_5y,growth_ear_5y,growth_div_5y,equity_ratio,p/e,profit_return,direct_return,country
1405,1659,INFRA,,0.0,0.3972,,,,0.4441917386878073,,,,1
1406,1660,NPINV,,0.0,-0.0009,,,,0.9090909090909092,,,,4
1407,1661,LEMSE,,0.0,-0.3234,,,,0.7456309095493153,,,,1
1408,1662,VASLOG,,,,,,,,,,,
1409,1663,VPAB B,,1.1,1.3492,,,,0.3717334232520051,,,,1
1410,1664,SHI B,,0.0,-2.4914,,,,0.1540219378427788,,,,1
1411,1665,SALMON,,5.05,5.3754,,,,0.000539893374154741,,,,2
1412,1666,GOLDB MTF,,0.0,-0.3696,,,,0.6417687595712098,,,,1
1413,1667,LIVI,,0.0,-1.2253,,,,0.20416053019145805,,,,1
1414,1668,OPT,,0.0,-0.3856,,,,0.5771995545206033,,,,1
1415,1669,SMOL,,0.0,-1.8042,,,,0.9232833764814858,,,,1
1416,1670,BONES,,0.0,-8.9409,,,,0.1116613042927796,,,,1
1417,1671,BONEH,,0.0,-0.8697,,,,0.11166201838653032,,,,3
1418,1672,ADMCM,,0.48,0.7101,,,,0.8232433217189314,,,,3
1419,1674,HRC,,0.0,0.0,,,,,,,,4
1420,1675,ATANA MTF,,0.0,-0.0491,,,,0.47080642066892625,,,,1
1421,1676,CIBUS,,8.472,11.2032,,,,0.421745577104658,,,,1
1422,1677,BHG,,0.0,0.4647,,,,0.5800614192378244,,,,1
1423,1678,GREEN,,0.0,-0.1605,,,,0.1586730302793209,,,,1
1424,1679,ZUTEC,,0.0,0.0,,,,,,,,1
1425,1680,ALTIA,,0.38,0.4178,,,,0.38447745901639346,,,,3
1426,1681,HARVIA,,0.37,0.3621,,,,0.56287466114812,,,,3
1427,1682,ELK,,2.6,5.7404,,,,0.4408108194930772,,,,2
1428,1683,FKRAFT,,2.2,2.4265,,,,0.2526073189957131,,,,2
1429,1684,RIVER-ME,,0.0,0.0,,,,,,,,2
1430,1685,SUNSB-ME,,0.0,0.0,,,,,,,,2
1431,1686,AGILC,,0.0,-3.2069,,,,0.07389193752638243,,,,4
1432,1688,BODY,,0.0,0.0036,,,,0.6035467825775229,,,,1
1433,1689,ICO,,0.0,-0.6338,,,,0.8801254453171209,,,,1
1434,1690,FLUI,,0.0,-1.9641,,,,0.8998960458938129,,,,1
1435,1691,INFREA,,0.0,-0.6994,,,,0.5267511674449633,,,,1
1436,1692,NP3 PREF,,2.0,0.0,,,,,,,,1
1437,1693,TCAB MTF B,,0.0,0.2053,,,,0.7846529615306329,,,,1
1438,1694,BETCO,,0.0,1.4298,,,,0.5776393336742108,,,,1
1439,1695,NCAB,,4.5,6.2028,,,,0.41051903114186855,,,,1
1440,1697,ITECH,,0.0,-1.1517,,,,0.833678739698525,,,,1
1441,1698,OVZON,,0.0,-3.0538,,,,0.5564553024064416,,,,1
1442,1699,JDT,,0.0,-0.9059,,,,0.9406049239854755,,,,1
1443,1700,AEC,,0.0,-0.2194,,,,0.9982391142514001,,,,1
1444,1701,AFRI MTF,,0.0,0.0,,,,,,,,1
1445,1702,NETC,,0.0,3.6243,,,,0.5182406253371252,,,,4
1446,1703,ESENSE,,0.0,0.1769,,,,0.19215766783001437,,,,3
1447,1704,HAPPY,,0.0,0.0,,,,,,,,4
1448,1705,ASA-ME,,0.0,0.0,,,,,,,,2
1449,1706,GEOS-ME,,0.0,0.0,,,,,,,,2
1450,1707,SOFTOX-ME,,0.0,0.0,,,,,,,,2
1451,1708,SUSB-ME,,0.0,0.0,,,,,,,,2
1452,1709,TEONE-ME,,0.0,-0.9347,0.9800810641760885,,,0.6525433522704519,,,,2
1453,1710,ARION SDB,,0.0,0.2881,,,,0.1725108152606613,,,,1
1454,1711,EPI A,,2.1,4.4788,,,,0.521283363296916,,,,1
1455,1712,EPI B,,2.1,4.4788,,,,0.521283363296916,,,,1
1456,1713,FLEXM,,0.0,-0.2276,,,,0.8107000569151964,,,,1
1457,1714,IAG,,0.0,-0.003,0.8435340103548563,,,0.6611781451169411,,,,1
1458,1715,KOJAMO,,0.29,0.8974,,,,0.42988660808692164,,,,3
1459,1717,FREETR,,0.0,-0.3776,,,,0.7016178266178267,,,,4
1460,1718,PENG B,,1.0,2.3131,0.9993804823817205,1.4559308505079562,,0.49183211862276954,,,,1
1461,1719,CALTX,,0.0,-3.7303,,,,0.9533602604496797,,,,1
